id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7417444,Studio in Lincoln Sq - Columbus Cir,11239404,Sholeh,Manhattan,Upper West Side,40.77083,-73.98029,Entire home/apt,140,30,2,2015-08-16,0.03,1,0
7417520,East Village Two Bedroom,37028138,Matt,Manhattan,East Village,40.72228,-73.9838,Entire home/apt,250,30,21,2017-11-26,0.31,1,0
7419334,Bright and beautiful 1 bedroom Apt.,19135506,Rosalia,Manhattan,Upper West Side,40.77918,-73.98738,Entire home/apt,150,30,1,2015-08-10,0.01,1,0
7421930,Long Island City- Furnished Studio,22344488,Jess,Queens,Long Island City,40.75228,-73.93876,Entire home/apt,110,30,9,2015-09-26,0.13,1,0
7426597,Sunny family-friendly Brooklyn 2-br with parking,38902136,Michal,Brooklyn,Gowanus,40.67077,-73.98919,Entire home/apt,182,30,217,2021-07-01,3.03,1,253
7431316,Large private room in W. Heights,16617981,Emmanuel,Manhattan,Washington Heights,40.83551,-73.93923,Private room,40,30,2,2015-12-01,0.03,1,0
7432146,2 twins bed Private room  in Brooklyn,4279384,Tanya,Brooklyn,Flatbush,40.64315,-73.95459,Private room,45,30,4,2017-08-01,0.06,2,0
7433174,Apt.-private entrance -Townhouse- 10mins. to JFK,34789416,Carl,Queens,Laurelton,40.67261,-73.75254,Private room,115,30,1,2018-06-16,0.03,1,365
7433796,Room Epic View Near Freedom Tower,2134232,Crystal,Manhattan,Tribeca,40.71955,-74.00974,Private room,104,30,15,2017-06-08,0.24,1,0
7434316,Parkside Brooklyn Artist Apartment!,3861404,Stefanie,Brooklyn,Prospect-Lefferts Gardens,40.6547,-73.9613,Private room,80,30,3,2015-08-24,0.04,2,0
7435181,Refreshing Bushwick Enclave,38946305,Allon,Brooklyn,Bushwick,40.69359,-73.92872,Private room,50,30,4,2015-12-27,0.05,1,0
7435577,Comfy Modern Bklyn 1BR + Guest BR,28460565,Su,Brooklyn,Bedford-Stuyvesant,40.67969,-73.92891,Entire home/apt,135,30,6,2015-12-07,0.08,1,0
7436186,Beautiful bedroom in Ditmas Park!!!,6367907,J And Lana,Brooklyn,Flatbush,40.63366,-73.95973,Private room,108,30,70,2019-11-30,1.21,1,365
7437824,2BR + Roof Top-20min from Manhattan,17942384,Maud,Brooklyn,Park Slope,40.66847,-73.98064,Entire home/apt,200,30,2,2015-08-10,0.03,1,0
7448093,stylish apartment w/ backyard,6223874,Rachael,Brooklyn,Greenpoint,40.73203,-73.95726,Entire home/apt,130,30,3,2017-02-11,0.05,1,0
7450047,Calm & Quiet in Clinton Hill,3676701,Margo,Brooklyn,Prospect Heights,40.68079,-73.96439,Entire home/apt,145,30,5,2016-09-07,0.07,1,0
